#####
# Bayern > Oberbayern
#
#  see de.wikipedia.org/wiki/Oberbayern
#
# Verwaltungssitz: München
# 
# Größte Städte:  1. München, 2. Ingolstadt, 3. Rosenheim, 4. Freising
#
# Der Regierungsbezirk Oberbayern umfasst
#  - drei kreisfreie Städte und
#  - 20 Landkreise


# ---------------
# -- München

## big six - Spatenbräu, Augustiner, Paulaner, Hacker-Pschorr, Hofbräu, Löwenbräu

augustiner, Augustiner Bräu München ***, 1328, BY, www.augustiner-braeu.de, 80339 München // Landsberger Straße 31‎ 

paulaner, Paulaner Brauerei ***, 1634, www.paulaner.de, 81541 München // Hochstraße 75‎  

hackerpschorr, Hacker-Pschorr Bräu ***, 1417, www.hacker-pschorr.de, 81541 München // Hochstraße 75‎  
# NB: war(!) eine Brauerei in München, und ist heute eine Marke der Paulaner-Brauerei

spatenbraeu, Spaten-Franziskaner-Bräu ***, 1397, www.spatenbraeu.de, München //    # part of abinbev

loewenbraeu, Löwenbräu ***, 1383, www.loewenbraeu.de, 80335 München // Nymphenburger Straße 7‎  
# NB: Seit 1997 gehört Löwenbräu gemeinsam mit Spatenbräu der Spaten-Löwenbräu-Gruppe an, die wiederum zur Anheuser-Busch InBev-Gruppe gehört

hofbraeu, Hofbräu München|Hofbräuhaus München|Staatliches Hofbräuhaus München ***, 1589, www.hofbraeu-muenchen.de, 81829 München // Hofbräuallee 1 

## more

CREW AleWerkstatt, München // 
Forschungsbrauerei Jakob, München // 
Giesinger Bräu, München // 
Richelbräu, München-Neuhausen // 

# ---------------
# --  Landkreis München

Brauerei Aying, Aying //
Di Gastro Fliegerbräu, Feldkirchen-Riem // 
Di Gastro Isarbräu, Pullach-Großhesselohe // 
Weißbräu Bartholomäus Gmeineder, Oberhaching-Deisenhofen //


# ---------------
# -- Ingolstadt

Herrnbräu, Ingolstadt // 
Nordbräu, Ingolstadt //
Schöffbräu, Ingolstadt //
Schwalbenbräu, Ingolstadt //
Westparkbräu/Brauhaus 1516, Ingolstadt //


# ---------------
# --  Rosenheim

Auerbräu, Rosenheim //
Chiemgauer Brauhaus, Rosenheim //
Flötzinger Bräu (Privatbrauerei Franz Steegmüller), Rosenheim //


# ---------------
# --  Landkreis Rosenheim

Brauerei Gut Forsting, Pfaffing-Forsting //
Brauerei Rothmoos A.Kirnberger, Halfing //
Brauerei Starkmeth, Bruckmühl //
Schlossbrauerei Maxlrain Leo Graf von Hohenthal und Bergen, Maxlrain // 



# ---------------
# --  Landkreis Altötting

Bräu im Moos, Tüßling //
Brauerei Berger, Reischach //
Brauerei Leidmann, Unterneukirchen //
Graminger Weißbräu, Altötting //
Müllerbräu, Neuötting // 


# ---------------
# --  Landkreis Bad Tölz-Wolfratshausen

Genossenschaftsbrauerei Reutberg, Sachsenkam-Reutberg // 
Mühlfeldbräu, Bad Tölz //
Tölzer Mühlfeldbräu, Bad Tölz //
Wampenbräu, Bichl //


# ---------------
# --  Landkreis Berchtesgadener Land

Brauerei Gasthof Weißbräu, Freilassing // 
Bürgerbräu Bad Reichenhall August Röhm & Söhne, Bad Reichenhall //
Hofbräuhaus Berchtesgaden, Berchtesgaden //
Privatbrauerei M. C. Wieninger, Teisendorf //


# ---------------
# --  Landkreis Dachau

Kapplerbräu Hans Wiedemann, Altomünster //
Maierbräu Altomünster, Altomünster //
Schlossbrauerei Haimhausen, Haimhausen //
Schlossbrauerei Odelzhausen, Odelzhausen // 
Tobiasbräu, Ried bei Markt Indersdorf // 


# ---------------
# --  Landkreis Ebersberg

Herrmannsdorfer Schweinsbräu (Naturtrübbrauerei), Glonn //
Privatbrauerei Schweiger, Markt Schwaben // 
Wildbräu Grafing, Grafing bei München //


# ---------------
# --  Landkreis Eichstätt

Brauerei Fritz Gutmann, Titting //
de Bassus Schlossbrauerei zu Sandersdorf, Sandersdorf // 
Privatbrauerei Hofmühl, Eichstätt //


# ---------------
# --  Landkreis Erding


erdinger, Privatbrauerei Erdinger Weißbräu ***, 1886, BY, www.erdinger.de, 85435 Erding // Franz-Brombach-Straße 1

Airbräu - Allresto Flughafen München Hotel und Gaststätten GmbH, Flughafen München // 

Stiftungsbrauerei Fischer, Erding // 
Bräu z'Loh, Dorfen // 
Brauerei Bachmayer, Dorfen // 
Brauerei Bauer, Sankt Wolfgang //
Eittinger Fischerbräu, Eitting // 
Guts- und Brauereigenossenschaft Taufkirchen, Taufkirchen (Vils) // 
Reiter Bräu, Wartenberg //
