###############################
# Bayern > Mittelfranken
#
#   see de.wikipedia.org/wiki/Mittelfranken
#
#  Verwaltungssitz: Ansbach
# 
# Größte Städte: 1. Nürnberg, 2. Fürth, 3. Erlangen, 4. Ansbach
#
# Der Regierungsbezirk Mittelfranken umfasst
# - fünf kreisfreie Städte und
# - sieben Landkreise

# --------------------
# -- Nürnberg

Hausbrauerei Barfüßer, Nürnberg // 
Lederer Bräu, Nürnberg // 
Nürnberger Altstadthof, Nürnberg // 
Schanzenbräu, Nürnberg // 
Tucher Bräu, Nürnberg // 

# --------------------
# -- Landkreis Nürnberger Land

Brauerei Bub, Leinburg // 
Brauerei Enzensteiner, Schnaittach-Enzenreuth // 
Brauerei Kanone Löhr, Schnaittach // 
Brauerei Schaffer, Schnaittach // 
Brauerei Simon GmbH, Lauf an der Pegnitz // 
Brauerei Wiethaler, Lauf-Neunhof // 
Bürgerbräu Hersbruck Deinlein, Hersbruck // 
Dreykorn Brauerei, Lauf an der Pegnitz // 
Kaiser Bräu, Neuhaus an der Pegnitz // 
Kommunbräu, Neuhaus an der Pegnitz // 
Veldensteiner Kaiser Bräu, Neuhaus an der Pegnitz // 
Wolfshöher Privatbrauerei K. u. F. Weber, Neunkirchen am Sand // 


# --------------------
# -- Fürth

# --------------------
# -- Landkreis Fürth

Dorn-Bräu, Ammerndorf // 
Zirndorfer Brauerei, Zirndorf // 


# --------------------
# -- Ansbach

# --------------------
# -- Landkreis Ansbach

Brauerei Hauf, Dinkelsbühl // 
Brauerei Stefansbräu, Dinkelsbühl // 
Weib's Brauhaus Dinkelsbühl, Dinkelsbühl // 
Brauerei Fischer, Wieseth // 
Brauerei Gasthof Reindler Bräu, Jochsberg bei Leutershausen // 
Dornbräu, Bruckberg // 
Forstquell-Brauerei, Wassertrüdingen-Fürnheim // 
Hauff-Bräu R. Weid, Lichtenau // 
Landwehr-Bräu Wörner, Steinsfeld-Reichelshofen // 


# --------------------
# -- Erlangen

Kitzmann-Bräu, Erlangen // 
Spezialitätenbrauerei Steinbach Bräu, Erlangen // 

# --------------------
# -- Landkreis Erlangen-Höchstadt

Brauerei Fischer, Höchstadt an der Aisch-Greuth // 
Brauerei Friedel, Zentbechhofen-Höchstadt // 
Brauerei Geyer Landgasthof, Oberreichenbach // 
Brauerei Heller, Herzogenaurach // 
Brauerei Rittmayer, Adelsdorf-Aisch // 
Brauerei Sauer, Röttenbach (bei Erlangen) // 
Brauhaus Höchstadt, Höchstadt // 
Zum Löwenbräu, Adelsdorf-Neuhaus // 

# --------------------
# -- Schwabach

# --------------------
# -- Landkreis Neustadt an der Aisch-Bad Windsheim

Brauerei Loscher, Münchsteinach // 
Brauerei Windsheimer, Gutenstetten // 

Hausbrauerei Kohlenmühle, Neustadt an der Aisch // 

Brauereigasthof Bürgerbräustuben "Schalander", Bad Windsheim  // 
Brauhaus Döbler, Bad Windsheim // 
Fränkisches Freilandmuseum Bad Windsheim, Bad Windsheim // 

Privatbrauerei Hofmann, Pahres // 

# --------------------
# -- Landkreis Roth

Brauerei Gundel, Kammerstein-Barthelmesaurach // 
Brauerei Zwanzger, Uehlfeld // 
Brauerei-Gasthof Prechtel, Uehlfeld // 
Pyraser Landbrauerei, Thalmässing-Pyras // 
Stadtbrauerei Spalt, Spalt // 

# --------------------
# -- Landkreis Weißenburg-Gunzenhausen

Schneider Bräu, Weißenburg in Bayern  // 
Brauerei Sigwart, Weißenburg in Bayern // 

Schorschbräu, Gunzenhausen // 

Brauerei Strauß, Wettelsheim // 
W. Gloßner, Bergen-Thalmannsfeld  // 
F. Wurm, Pappenheim-Bieswang  // 
Hechtbräu Zimmern, Pappenheim-Zimmern // 
Fürstliches Brauhaus Ellingen, Ellingen // 
Hochholzer Brauhaus, Solnhofen-Hochholz // 
Ritter St. Georgenbrauerei, Nennslingen // 


