####################
# Bayern > Schwaben
#
#   see de.wikipedia.org/wiki/Schwaben_(Bayern)
#
#  Verwaltungssitz: Augsburg
# 
# Größte Städte: 1. Augsburg, 2. Kempten, 3. Neu-Ulm, 4. Kaufbeuren
#
# Der Regierungsbezirk Schwaben umfasst
#   - vier kreisfreie Städte und
#   - zehn Landkreise


# -----------------------
# -- Augsburg

thorbraeu, Brauerei Thorbräu|Thorbräu, 1582, www.thorbraeu.de, Wertachbrucker-Tor-Straße 9 // 86152 Augsburg

augusta, Augusta Brauerei, 1488, www.augusta-brauerei.de, Lauterlech 10-14 // 86152 Augsburg

hasenbraeu, Hasen-Bräu, 1464, www.hasen-braeu.de, Unterer Talweg 87 // 86179 Augsburg 

riegele,  Brauhaus Riegele|Brauerei S. Riegele, 1386, www.riegele.de, Frölichstraße 26 // 86150 Augsburg


####
## brewpubs

koenigvonflandern, König von Flandern, www.koenigvonflandern.de, Karolinenstraße 12 // 86150 Augsburg

# Charly-Bräu -> Bob's  (Bob's Fast Food)
# Brauhaus Törring  ??
# Fortuna-Brauerei  ??


#########
# de.wikipedia
#
# riegele: Brauhaus_Riegele


# ----------------------------
# -- Landkreis Augsburg

Brauereigasthof Fuchs, Neusäß-Steppach // 
Brauerei Rapp, Kutzenhausen // 
Schimpfle, Gessertshausen // 
Schwarzbräu, Zusmarshausen // 
Stadelbräu, Adelsried // 
Staudenbräu, Walkertshofen // 
Ustersbacher, Ustersbach // 


# ----------------
# -- Kaufbeuren

aktienbrauerei, Aktienbrauerei Kaufbeuren, 1308, www.aktien-brauerei.de, Hohe Buchleuthe 3 // 87600 Kaufbeuren

Communebrauerei Kaufbeuren, www.communebrauerei-kaufbeuren.de, Kappeneck 1 // 87600 Kaufbeuren


# ----------------------------
# -- Kempten (Allgäu)

allgaeuer, Allgäuer Brauhaus, 1394, www.allgaeuer-brauhaus.de, Beethovenstraße 7 // 87435 Kempten


# ----------------------------
# -- Memmingen

Barfüßer, Memmingen // 
Memminger Brauerei, Memmingen // 


# ----------------------------
# -- Landkreis Aichach-Friedberg

Brauerei Gasthof Peterhof, Kühbach // 
Brauerei Kühbach, Kühbach // 
Boandlbräu, Aichach-Oberbernbach // 
Canada Mauerbacher Bräustüberl, Aichach-Obermauerbach // 
Brauereigasthof St. Afra im Felde, Friedberg // 
Hinterhofbräu Aichach, Aichach // 
Landhausbräu Koller, Eurasburg // 
Schlossbrauerei Blumenthal, Aichach (Schloss Blumenthal) // 
Schlossbrauerei Scherneck, Rehling // 
Schlossbrauerei Unterbaar, Baar // 


# ----------------------------
# -- Landkreis Dillingen a. d. Donau

Schwanenbräu, Wertingen // 

# ----------------------------
# -- Landkreis Donau-Ries

oettinger, Oettinger Brauerei, 1731, www.oettinger-bier.de, Brauhausstraße 8 // 86732 Oettingen

Anker Bräu, Nördlingen // 
Maierbier, Nördlingen // 
Wallersteiner Fürstenbier, Wallerstein // 


# ----------------------------
# -- Landkreis Günzburg

Münzbrauerei, Günzburg // 
Radbrauerei, Günzburg // 

Autenrieder Brauereigasthof, Ichenhausen-Autenried // 
Brauereigasthof Hirschbräu, Leipheim // 
Heimat- und Bauernkriegsmuseum Blaue Ente, Leipheim // 
Klosterbrauerei Ursberg, Ursberg // 
Postbräu, Thannhausen // 
Schlossbrauerei Autenried, Ichenhausen-Autenried // 


# ----------------------------
# -- Landkreis Lindau (Bodensee)

Aktienbrauerei Simmerberg, Weiler-Simmerberg // 
Meckatzer Löwenbräu, Heimenkirch // 

# ----------------------------
# -- Landkreis Neu-Ulm

Barfüßer, Neu-Ulm // 
Roberts GenussBräu, Neu-Ulm-Reutti // 
Privatbrauerei Schlössle, Neu-Ulm-Offenhausen // 
Bärenbrauerei Neuhausen, Holzheim-Neuhausen // 
Biberacher Brauerei Schmid, Biberach // 
Brauerei Kolb, Meßhofen // 
Deilbräu, Osterberg // 
Illertisser Schlossbräu, Illertissen // 
Kronbräu Illerberg, Illerberg // 

# ----------------------------
# -- Landkreis Oberallgäu

Brauerei Zötler, Rettenberg // 
Engelbräu, Rettenberg // 
Hirschbräu Privatbrauerei Höss, Sonthofen // 
Schäffler-Bräu, Missen // 


# ----------------------------
# -- Landkreis Ostallgäu

Braugasthof Falkenstein, Pfronten // 
Irseer Klosterbräu, Irsee // 
Kirnach Stuben, Ruderatshofen // 
Kössel-Bräu, Speiden // 
Landgasthof Hubertus, Apfeltrang // 
Postbrauerei Nesselwang, Nesselwang // 
Sailerbräu, Leuterschach // 
Schlossbrauhaus Schwangau, Schwangau // 

# ----------------------------
# -- Landkreis Unterallgäu

Bad Wörishofer Löwenbräu, Bad Wörishofen // 
Brauerei Kronburg, Kronburg // 
Häpfenbräu, Rammingen // 
Hotel Hirsch Gasthausbrauerei, Ottobeuren // 
Lindenbrauerei, Mindelheim // 
Storchenbräu, Pfaffenhausen // 
