###################
# Breweries in Niedersachsen [Lower Saxony] (NI)


jever, Friesisches Brauhaus zu Jever, 1848, NI, Elisabethufer 18 // 26441 Jever, radeberger




## todo: check for , in title for autokey (allow keys starting with underscore!! use _50bier (avoid starting w/ digits? better why? why not??))
fix50bier, 5\,0 Biervertrieb, www.5-0-original.de, Böcklerstrasse 31 // 38102 Braunschweig

artland, Artland Brauerei, www.artland-brauerei.de, Nortrup // 

allersheim, Brauerei Allersheim, 1854, Holzminden // 
carlbetz, Brauerei Carl Betz, 1893, Celle // 
friesenbraeu, Friesenbräu Privat Brauerei, Großefehn // 


gildebrau, Gilde Brauerei, www.gildebrau.de, Hannover // 

hardenbergwilthen, Hardenberg-Wilthen, www.hardenberg-wilthen.de, Nörten-Hardenberg // 

wolters,   Hofbrauhaus Wolters, www.hofbrauhaus-wolters.de, Braunschweig // 
borchert,   Landhaus Brauerei Borchert, www.landhaus-brauerei.de, Lünne // 
langeooger, Langeooger Inselbrauerei, 2007, Langeoog // 
mumme, Mumme Brauerei, www.bs-mumme.de, Braunschweig // 

ostfriesenbraeu, Ostfriesen Bräu, www.ostfriesenbraeu.de, Großefehn-Bagband // 
haffner, Privatbrauerei Haffner, 1868, Uslar // 
haerke, Privatbrauerei Härke, www.haerke-brauerei.de, Peine // 

herrenhausen, Privatbrauerei Herrenhausen, 1868, Hannover // 

wittingen, Privatbrauerei Wittingen, 1429, Wittingen // 
ruppbraeu, Rupp-Bräu, 1861, Lauenau // 

schaumburger, Schaumburger Privat-Brauerei, 1873, Stadthagen // 
sommerbecker, Sommerbecker Brauerei, www.sommerbecker-dachs.de, Dahlenburg // 


### todo move brewpubs (Brauhaus, Hausbrauerei, etc.) to its own file)
# or split file in two sections

ernstaugust, Brauhaus Ernst August, 1986, Hannover-Altstadt // 
einbecker, Einbecker Brauhaus, 1378, Einbeck // 
nolte, Gasthausbrauerei Nolte, 1906, Lüneburg // 
rampendahl, Hausbrauerei Rampendahl, Osnabrück // 
vareler, Vareler Brauhaus, www.vareler-brauhaus.de, Varel // 
