###################
# Breweries in Thüringen [Thuringia]  (TH)



altenburger,    Altenburger Brauerei, 1871, www.brauerei-altenburg.de, Brauereistraße 20 // 04600 Altenburg
  brands: Altenburger

saalfeld,       Bürgerliches Brauhaus Saalfeld, 1892, 32_000hl, www.brauhaus-saalfeld.de, Pößnecker Straße 55 // 07318 Saalfeld
  brands: Saalfelder
  


koestritzer,    Köstritzer Schwarzbierbrauerei, 1543, www.koestritzer.de, Heinrich-Schütz-Straße 16 // 07586 Bad Köstritz
  brands: Köstritzer

poessneck,      Rosenbrauerei Pößneck, 1445, www.rosenbrauerei.de, Dr.-Wilhelm-Külz-Straße 41 // 07381 Pößneck

apolda,         Vereinsbrauerei Apolda, 1887, www.brauerei-apolda.de, Topfmarkt 14 // 99510 Apolda
  brands: Apoldaer


eisenacher,     Eisenacher Brauerei, 1828, Eisenach // 
dingsleben,     Privatbrauerei Metzler, www.dingslebener.de, Dingsleben // 
rhoenbrauerei,  Rhönbrauerei Dittmar, www.rhoenbrauerei.de, Kaltennordheim // 
greiz,          Vereinsbrauerei Greiz, 1872, Greiz // 


watzdorfer,     Watzdorfer Traditions- und Spezialitätenbrauerei, 1411, Bad Blankenburg // 

waldhauserfurt, Waldhaus, www.waldhaus-erfurt.de, Erfurt // 
braugold,       Braugold, 1888, Erfurt // 

meininger,      Meininger Privatbrauerei, 1841, Meiningen // 
gessner,        Privatbrauerei Gessner, 1622, Sonneberg // 
worbis,         Brauerei Neunspringe Worbis, 1867, Leinefelde-Worbis // 



#########################
# de.wikipedia
#
# altenburger: Altenburger_Brauerei
# saalfeld:    Bürgerliches_Brauhaus_Saalfeld
# koestritzer: Köstritzer_Schwarzbierbrauerei
# poessneck:   Rosenbrauerei_Pößneck
# apolda:      Vereinsbrauerei_Apolda
