###################
# Breweries in Berlin (BE)

### todo move brewpubs (Brauhaus, Hausbrauerei, etc.) to its own file)


berlinerkindl, Berliner-Kindl-Schultheiss-Brauerei, 1870, www.berliner-kindl.de, Indira-Gandhi-Straße 66 // 13053 Berlin
#  
#  part of Brau & Brunnen  => part of Radeberger
#  allow more (second) web links with |  ?? - e.g. www.berliner-kindl.de|www.schultheiss.de


hopsandbarley, Hops & Barley Hausbrauerei, www.hopsandbarley-berlin.de


Berliner Bürgerbräu, 1869
Bier-Company, www.bier-company.de
Bolzen Bier, www.bolzen-bier.de
Brauhaus Bohnsdorf, www.brauhaus-bohnsdorf.com
Brauhaus Georgbräu, 1992
Brauhaus in Rixdorf, www.brauhaus-rixdorf.de
Brauhaus in Spandau, www.brauhaus-spandau.de
Brauhaus Südstern, www.brauhaus-suedstern.de
BrewBaker, www.brewbaker.de
Flessa Bräu, www.brauerei-flessa.de
Fucking Hell, www.fucking-hell.de
Bären-Bräu (Getränkezukunft), www.berlinerbaerenbraeu.de
Hausbrauerei Eschenbräu, www.eschenbraeu.de

Microbrauerei Barkowsky, www.brau-dein-bier.de
Privatbrauerei Am Rollberg, www.rollberger.de

Schalander Hausbrauerei, 2009
Schlossplatzbrauerei Coepenick, www.brauhaus-coepenick.de
Schoppe Bräu, 1990
Vagabund Brauerei, www.vagabundbrauerei.com


#############
# Wikipedia  de.wikipedia.org/wiki/<value>
#
#  fix: add sections (skip on first pass)   use [wikipedia] or find
#    better syntax/style for marking (optional) sections w/ key value pairs
#
# berlinerkindl: Berliner-Kindl-Schultheiss-Brauerei

