#######
# Bayern > Niederbayern
#
#  see de.wikipedia.org/wiki/Niederbayern
#
#  Verwaltungssitz: Landshut
# 
# Größte Städte: 1. Landshut, 2. Passau, 3. Straubing, 4. Deggendorf
#
# Regierungsbezirk Niederbayern umfasst
#  - drei kreisfreie Städte und
#  - neun Landkreise


# -----------------------
# -- Landshut

Brauerei C. Wittmann, Landshut // 
Landshuter Brauhaus, Landshut // 


# -----------------------
# --  Landkreis Landshut

Anton Pöllinger Brauerei, Pfeffenhausen // 
Brauerei Reder, Pfeffenhausen // 

Bodenkirchener, Bodenkirchen // 
Brauerei Hans Stammler, Velden // 
Brauerei Josef Weinzierl, Weihmichl // 
Brauerei Wimmer, Bruckberg // 
Further Klosterbier, Furth // 
Schlossbrauerei Hohenthann, Hohenthann // 


# -----------------------
# -- Passau

Bayerische Löwenbrauerei Franz Stockbauer, Passau // 
Brauerei Hacklberg, Passau // 
Innstadt Brauerei Bierspezialitäten, Passau // 

Weizenbierbrauerei Andorfer, Passau-Ries // 


# -----------------------
# -- Landkreis Passau

Bayerische Löwenbrauerei Franz Stockbauer (Schlossbrauerei Haselbach), Schloss Haselbach //   #  Zweigniederlassung  
Brauerei Aldersbach Freiherr von Aretin, Aldersbach // 
Brauerei Wolferstetter Georg Huber, Vilshofen an der Donau // 
Brauhaus Aidenbach Woerlein, Aidenbach // 

Gutsbräu Straßkirchen, Straßkirchen (Salzweg) // 
Hutthurmer Bayerwald-Brauerei, Hutthurm // 
Weißbräu Sven Grünleitner, Kößlarn // 


# -----------------------
# -- Straubing

Brauerei Gebrüder Röhrl, Straubing // 
Karmelitenbrauerei Karl Sturm, Straubing // 

# -----------------------
# --  Landkreis Straubing-Bogen

Brauerei Klett, Konzell // 
Brauerei Ludwig Erl, Geiselhöring // 
Bräuhaus Schwarzach, Schwarzach // 
Frhr. v. Poschinger-Bray'sche Schlossbrauerei Irlbach, Irlbach // 
Klosterbrauerei Mallersdorf, Mallersdorf // 
Privatbrauerei Stöttner, Pfaffenberg // 


# -----------------------
# -- Landkreis Deggendorf

Arcobräu Gräfliches Brauhaus, Moos // 
Schaubrauerei Bräu zur Isar, Plattling // 


# -----------------------
# --  Landkreis Dingolfing-Landau

Brauerei Xaver Wasserburger, Dingolfing  // 

Kurt Landauer Brauerei, Landau an der Isar // 
Brauerei Wilhelm Krieger, Landau an der Isar // 

Brauerei Gebrüder Röhrl Zweigbetrieb Frontenhausen, Frontenhausen  // 

Gräfliche Brauerei Arco-Valley, Eichendorf-Adldorf // 

Postbrauerei Renkl, Frontenhausen // 

Privatbrauerei H. Egerer, Pilsting-Großköllnbach // 


# -----------------------
# --  Landkreis Freyung-Grafenau

Lang-Bräu, Freyung // 

Bucher Bräu Grafenau, Grafenau // 

Gut Riedelsbach Familie Bernhard Sitter, Neureichenau-Riedelsbach // 
Klingenbrunner, Spiegelau-Klingenbrunn // 

Privatbrauerei Josef Lang, Jandelsbrunn // 

# -----------------------
# --  Landkreis Kelheim

riedenburger, Riedenburger Brauhaus, 1866, www.riedenburger.de, 93339 Riedenburg // Hammerweg 5 

schneider, Weisses Bräuhaus G. Schneider & Sohn, www.schneider-weisse.de, 93309 Kelheim // Emil-Ott-Straße 5 


Brauerei und Gasthof Frischeisen, Kelheim // 
Klosterbrauerei Weltenburg, Kelheim-Weltenburg // 

Brauerei Berghammer, Bad Abbach-Oberndorf // 

Brauerei Horneck, Elsendorf-Horneck // 

Hofbräu Abensberg, Abensberg // 
Brauerei Kuchlbauer, Abensberg // 
Ottenbräu, Abensberg // 
Weißbierbrauer, Abensberg // 

Gasthausbrauerei Stanglbräu, Hausen-Herrnwahlthann // 
Gasthausbrauerei Frühmorgen, Wildenberg // 

Josef Schneider's Kleines Brauhaus, Essing // 

Brauerei Friedrich Riemhofer, Riedenburg // 

Schlossbrauerei Herrngiersdorf, Herrngiersdorf // 

Schmidmayer Bräu, Siegenburg // 

Ziegler Bräu, Mainburg // 


# -----------------------
# --  Landkreis Regen

Privatbrauerei J. B. Falter, Regen // 

zwiesel, 1. Dampfbierbrauerei Zwiesel, www.dampfbier.de, 94227 Zwiesel // Regener Straße 9 


Janka Bräu, Zwiesel // 

Brauerei Gasthof Hotel Eck, Böbrach // 
Drachselsrieder Schlossbräu, Drachselsried //
Falterbräu, Drachselsried // 
Ettl-Bräu, Teisnach // 
Gesellschaftsbrauerei Viechtach, Viechtach // 

Adam-Bräu, www.adam-braeu.de, 94249 Bodenmais // Bahnhofstrasse 49-53 

# -----------------------
# --  Landkreis Rottal-Inn

Brauerei Büchner, Malgersdorf-Heilmfurt // 
Brunner Bräu, Eggenfelden-Spanberg // 
Klosterbräu Seemannshausen, Gangkofen-Seemannshausen //
Schlossbrauerei Arnstorf Josef Graf von Deym, Arnstorf // 
Schlossbräu Mariakirchen, Arnstorf-Mariakirchen // 

