##################
# Bayern > Oberpfalz
#
#  see de.wikipedia.org/wiki/Oberpfalz
#
# Verwaltungssitz: Regensburg
# 
# Größte Städte: 1. Regensburg, 2. Amberg, 3. Weiden, 4. Neumarkt
#
# Der Regierungsbezirk Oberpfalz umfasst
#  - drei kreisfreie Städte und
#  - sieben Landkreise


# ----------------------------------
# -- Regensburg

Brauerei Bischofshof, Regensburg
Fürstliches Brauhaus Thurn und Taxis, Regensburg
Kneitinger, Regensburg
Spitalbrauerei, Regensburg

# ----------------------------------
# -- Landkreis Regensburg

Brauereigasthof Donhauser, Hemau
Goss, Deuerling
Privatbrauerei Plank, Laaber
Prösslbräu in Adlersberg, Pettendorf
Spezialbrauerei Schierling, Schierling # 100 %-Tochter von Kuchlbauer, Abensberg
Schlossbrauerei Eichhofen, Nittendorf


# ----------------------------------
# -- Amberg

Bruckmüller, Amberg
Kummert, Amberg
Sudhang Hausbrauerei, Amberg
Winkler, Amberg
Schloderer, Amberg

Privatbrauerei Sterk, Raigering  # Raigering ist ein Stadtteil von Amberg

# ----------------------------------
# -- Landkreis Amberg-Sulzbach

Brauerei Fuchsbeck, Sulzbach-Rosenberg
Sperber, Sulzbach-Rosenberg

Heldrich, Edelsfeld
Brauerei Märkl, Freudenberg
Pürner, Etzelwang
Schlossbrauerei Hirschau, Hirschau
Schlossbrauerei Holnstein, Neukirchen bei Sulzbach-Rosenberg


# ----------------------------------
# -- Weiden

# NB: exit gambrinus in cz and ro
gambrinusweiden, Gambrinus, Weiden in der Oberpfalz


# ----------------------------------
# -- Landkreis Cham

Alfons Hintereder, Cham
Zur Luitpoldhöhe, Cham
Sauer, Cham-Thierlstein
Drexler Bräu, Pösing
Dimpflbräu, Furth im Wald
Genossenschaftsbrauerei, Rötz
Hofmark Brauerei, Traitsching-Loifling
Lindner Bräu, Bad Kötzting
Mühlbauer Brauerei, Arnschwang
Rhaner Bräu, Schönthal
Schlossbrauerei Brandl, Runding
Schröttinger Bräu, Michelsneukirchen
Späth Bräu, Lohberg
Späth Bräu, Furth im Wald


# ----------------------------------
# -- Landkreis Neumarkt in der Oberpfalz

Neumarkter Lammsbräu, Neumarkt in der Oberpfalz
Oberer Ganskeller, Neumarkt in der Oberpfalz
Glossner, Neumarkt in der Oberpfalz

Bender, Mühlhausen
Katzerer, Freystadt
Schuller, Berching
Winkler, Berching
Winklerbräu, Velburg-Lengenfeld

# ----------------------------------
# -- Landkreis Neustadt an der Waldnaab


Behringer Weissbierbrauerei, Vohenstrauß
Brauerei Bauriedl, Eslarn
Heberbräu, Kirchenthumbach
Moosbacher Brauerei, Moosbach
Pirker Brauhaus, Pirk
Püttner, Schlammersdorf
Würth Brauerei, Windischeschenbach


# ----------------------------------
# -- Landkreis Schwandorf

Schlossbrauerei Naabeck, Schwandorf

Brauhaus Nittenau, Nittenau
Fuchsberger Schlossbrauerei, Teunz
Jacob, Bodenwöhr
Weisses Brauhaus Mehringer, Neunburg vorm Wald


# ----------------------------------
# -- Landkreis Tirschenreuth

Hösl Brauerei, Mitterteich
Kommunbrauhaus, Mitterteich
Klosterbrauerei Kemnath, Kemnath
Brauerei Hans Riedl, Plößberg
Schlossbrauerei Friedenfels, Friedenfels
Schloßbrauerei Reuth, Reuth bei Erbendorf

