######################
# New York (NY)

brooklyn,        Brooklyn Brewery, 1987, NY, city:newyork, Brooklyn | NY 11249 // #1 Brewers Row // 79 N 11th St.
sixpoint,        Sixpoint Brewery, NY, Brooklyn | NY
southerntier,    Southern Tier Brewing Co.|Southern Tier Brewing Company, NY, Lakewood | NY
ommegang,        Brewery Ommegang, NY, Cooperstown | NY
bluepoint,       Blue Point Brewing Co.|Blue Point Brewing Company, NY, Patchogue | NY
captainlawrence, Captain Lawrence Brewing Co.|Captain Lawrence Brewing Company, NY, Elmsford | NY
ithaca,          Ithaca Beer Co.|Ithaca Beer Company, NY, Ithaca | NY


###################
# California (CA)

stonebrewing,    Stone Brewing Co., CA, Escondido | CA
lagunitas,       Lagunitas Brewing Co.|Lagunitas Brewing Company, CA, Petaluma | CA
sierranevada,    Sierra Nevada Brewing Co., CA, Chico | CA
greenflash,      Green Flash Brewing Co., CA, San Diego | CA 
firestonewalker, Firestone Walker Brewing Co.|Firestone Walker Brewing Company, CA, Paso Robles | CA
ballastpoint,    Ballast Point Brewing, CA, San Diego | CA
bearrepublic,    Bear Republic Brewing Co., CA, Healdsburg | CA
thebruery,       The Bruery, CA, Placentia | CA
andersonvalley,  Anderson Valley Brewing Co.|Anderson Valley Brewing Company, CA, Boonville | CA
anchorbrewing,   Anchor Brewing Co.|Anchor Brewing Company, CA, San Francisco | CA
alesmith,        AleSmith Brewing Co.|AleSmith Brewing Company, CA, San Diego | CA
speakeasy,       Speakeasy Ales and Lagers, CA, San Francisco | CA
lostcoast,       Lost Coast Brewery, CA, Eureka | CA
bjsbrewhouse,    BJ's Brewhouse, CA, Huntington Beach | CA
kneedeep,        Knee Deep Brewing Co.|Knee Deep Brewing Company, CA, Lincoln | CA
goldenroad,      Golden Road Brewing, CA, Los Angeles | CA
shmaltz,         Shmaltz Brewing Co.|Shmaltz Brewing Company, CA, San Francisco | CA
hangar24,        Hangar 24 Craft Brewery, CA, Redlands | CA
bootleggers,     Bootlegger's Brewery, CA, Fullerton | CA
moylans,         Moylan's Brewery, CA,  Novato | CA
karlstrauss,     Karl Strauss Brewing Co.|Karl Strauss Brewing Company, CA, San Diego | CA
pizzaport,       Pizza Port, CA, Carlsbad | CA
drakes,          Drake's Brewing Co.|Drake's Brewing Company, CA, San Leandro | CA
societebrewing,  Societe Brewing Co., CA, San Diego | CA


####################
# Oregon (OR)

widmer,     Widmer Brothers Brewing, OR, Portland | OR
rogueales,  Rogue Ales, OR, Newport | OR
deschutes,  Deschutes Brewery, OR, Bend | OR
laurelwood, Laurelwood Brewing Co., OR, Portland | OR
ninkasi,    Ninkasi Brewing Co.|Ninkasi Brewing Company, OR, Eugene | OR
boneyard,   Boneyard Beer Company, OR, Bend | OR



##########################
# Washington (WA)

redhook, Redhook Ale Brewery, WA, Woodinville | WA
pyramid, Pyramid Breweries, WA, Seattle | WA
noli,    No-Li Brewhouse, WA, Spokane | WA


######################
# Louisiana (LA)

dixie, Dixie Brewing Co.|Dixie Brewing Company, 1907, LA, city:neworleans, New Orleans | LA 70119 // 2401 Tulane Ave.
abita, Abita Brewing Co.|Abita Brewing Company, LA, Abita Springs | LA


#####################
# Illinois (IL)

pabst, Pabst Brewing Co.|Pabst Brewing Company, IL, Woodridge | IL

gooseisland, Goose Island Beer Co.|Goose Island Beer Company, 1988, IL, city:chicago, Chicago | IL 60612 // 1800 West Fulton St.
twobrothers, Two Brothers Brewing Co.|Two Brothers Brewing Company, IL, Warrenville | IL
halfacre,    Half Acre Beer Co.|Half Acre Beer Company, IL, Chicago | IL
pipeworks,   Pipeworks Brewing Co.|Pipeworks Brewing Company, IL, Chicago | IL
finch,       Finch's Beer Co.|Finch's Beer Company, IL, Chicago | IL


##################
# Ohio (OH)

